epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.671298265,0.99214983,1.00E-05,0.736827254,0.729514122
1,0.818571329,0.552565396,1.00E-05,0.837982535,0.477928698
2,0.853216648,0.444825172,1.00E-05,0.883065641,0.37114352
3,0.87133503,0.394594401,1.00E-05,0.8937729,0.331797808
4,0.88039422,0.357948691,1.00E-05,0.897435904,0.316844463
5,0.890555203,0.333346128,1.00E-05,0.905607224,0.302684993
6,0.894411445,0.316627294,1.00E-05,0.905325472,0.296766281
7,0.900593758,0.299491197,1.00E-05,0.905043662,0.294938475
8,0.907571793,0.280723482,1.00E-05,0.911524355,0.285877883
9,0.908979595,0.268131137,1.00E-05,0.909270227,0.288057506
10,0.91595763,0.249553323,1.00E-05,0.911524355,0.280100971
11,0.917426705,0.244229108,1.00E-05,0.91293323,0.277430266
12,0.921221793,0.232127577,1.00E-05,0.911806166,0.277382553
13,0.925139248,0.223435119,1.00E-05,0.91546917,0.27882424
14,0.92899555,0.213817775,1.00E-05,0.912369668,0.274959564
15,0.932545781,0.19867751,1.00E-05,0.915187359,0.276066005
16,0.935361445,0.192347482,1.00E-05,0.916314483,0.272909254
17,0.936402023,0.193235785,1.00E-05,0.917159736,0.279477239
18,0.942706764,0.176675022,1.00E-05,0.91828686,0.273246706
19,0.942278266,0.172106698,1.00E-05,0.917441547,0.277408093
20,0.942400694,0.166723594,1.00E-05,0.915750921,0.281036943
21,0.944114566,0.162792787,2.00E-06,0.919695675,0.27247417
22,0.947481155,0.15783076,2.00E-06,0.92110455,0.272761852
23,0.948705375,0.154547289,2.00E-06,0.921949863,0.273675352
24,0.947726011,0.154040799,2.00E-06,0.921949863,0.273046553
25,0.948889017,0.151894644,2.00E-06,0.920540988,0.274802238
26,0.948399365,0.151124582,4.00E-07,0.920259237,0.273815155
27,0.948399365,0.151179165,4.00E-07,0.92082274,0.273477435
28,0.947664797,0.152556062,4.00E-07,0.920540988,0.273402482
